1.GeneID	2.Base mean	3.log2(FC)	4.StdErr	5.Wald-Stats	6.P-value	7.P-adj
ENSG00000134333	12892.25707	1.76768165	0.110549595	15.98994235	1.50E-57	1.93E-53
ENSG00000176171	862.0467093	2.35483399	0.158525298	14.8546259	6.49E-50	4.17E-46
ENSG00000115457	6407.515018	2.063824078	0.145021171	14.23119166	5.87E-46	2.51E-42
ENSG00000102144	11931.91791	1.626789684	0.11609824	14.01218211	1.31E-44	4.21E-41
ENSG00000136160	358.7210997	2.180918271	0.180773393	12.06437648	1.63E-33	4.18E-30
ENSG00000139289	1075.74383	1.790710501	0.160933493	11.12702191	9.27E-29	1.98E-25
ENSG00000197358	187.0619358	2.233958054	0.201793184	11.07053275	1.74E-28	3.20E-25
ENSG00000214110	600.4448577	1.609332216	0.148435316	10.84197652	2.18E-27	3.49E-24
ENSG00000152256	574.8979592	1.590502286	0.171029872	9.299558397	1.41E-20	2.01E-17
ENSG00000111669	9604.433648	0.90817281	0.10823413	8.390817335	4.83E-17	6.20E-14
ENSG00000149925	12605.84987	0.945503315	0.114265983	8.274582568	1.29E-16	1.50E-13
ENSG00000122884	798.607989	1.358495203	0.164894085	8.238592697	1.74E-16	1.86E-13
ENSG00000114023	908.9302817	1.255191558	0.154881681	8.104196401	5.31E-16	5.24E-13
ENSG00000114268	323.5649031	1.366584544	0.169654031	8.055125676	7.94E-16	7.28E-13
ENSG00000226415	1117.253036	1.025106141	0.129428696	7.920238492	2.37E-15	2.03E-12
ENSG00000164096	881.6068371	1.078667254	0.13702962	7.871781666	3.50E-15	2.80E-12
ENSG00000134107	114.0946121	1.773998771	0.227043005	7.8134923	5.56E-15	4.20E-12
ENSG00000177181	245.7564544	1.393797373	0.181183884	7.692722691	1.44E-14	1.03E-11
ENSG00000148926	522.6456846	1.18953263	0.157986853	7.529314054	5.10E-14	3.45E-11
ENSG00000095596	309.7248888	1.434853194	0.192799558	7.442201683	9.90E-14	6.30E-11
ENSG00000067225	16012.0157	0.867976737	0.116711192	7.43696233	1.03E-13	6.30E-11
ENSG00000138772	374.9092432	1.174210138	0.162982648	7.204510116	5.83E-13	3.40E-10
ENSG00000214548	836.1385565	1.044536544	0.146900582	7.110499693	1.16E-12	6.45E-10
ENSG00000159399	2184.267271	0.962963326	0.135757048	7.093284199	1.31E-12	7.00E-10
ENSG00000171388	84.37901952	1.59490432	0.225535013	7.071648415	1.53E-12	7.86E-10
ENSG00000135766	300.4748451	1.283302803	0.182753035	7.02206016	2.19E-12	1.08E-09
ENSG00000038427	3702.408167	-0.80377624	0.116139827	-6.920763206	4.49E-12	2.14E-09
ENSG00000090530	607.8209001	1.064154404	0.15417424	6.902284109	5.12E-12	2.27E-09
ENSG00000159167	882.3473752	1.040880473	0.150739212	6.905173912	5.01E-12	2.27E-09
ENSG00000078114	430.034148	1.091012041	0.15962005	6.835056367	8.20E-12	3.51E-09
ENSG00000171246	991.7630707	0.961221447	0.145138723	6.622777352	3.53E-11	1.46E-08
ENSG00000005448	520.6650537	1.042221112	0.158306041	6.58358398	4.59E-11	1.84E-08
ENSG00000115548	794.8280367	0.998418537	0.152996433	6.5257635	6.77E-11	2.63E-08
ENSG00000104765	1080.600628	0.86014311	0.13205213	6.513663262	7.33E-11	2.77E-08
ENSG00000026025	736.053157	0.939614291	0.145343493	6.464784003	1.01E-10	3.72E-08
ENSG00000132510	123.0153859	1.408581567	0.22527847	6.252623995	4.04E-10	1.44E-07
ENSG00000109107	790.5458188	0.889790249	0.142516051	6.243438853	4.28E-10	1.48E-07
ENSG00000159388	158.5805079	1.300873926	0.209546368	6.208048064	5.36E-10	1.81E-07
ENSG00000254339	863.910183	0.958988781	0.157768675	6.078448606	1.21E-09	3.91E-07
ENSG00000170949	539.3411078	1.027087144	0.168992844	6.077696073	1.22E-09	3.91E-07
ENSG00000115461	125.8398142	1.276509229	0.214706173	5.945377403	2.76E-09	8.64E-07
ENSG00000147601	5062.448712	-0.690307809	0.116509532	-5.924904167	3.12E-09	9.55E-07
ENSG00000143847	74.5618558	1.35007206	0.228098505	5.918811514	3.24E-09	9.68E-07
ENSG00000173726	3454.675683	0.70536456	0.119490653	5.903094043	3.57E-09	1.04E-06
ENSG00000111674	1752.588385	0.830707155	0.141780811	5.859094398	4.65E-09	1.33E-06
ENSG00000072682	149.6790784	1.225894185	0.212434599	5.770689845	7.89E-09	2.20E-06
ENSG00000247095	65.92715956	1.335808141	0.231780304	5.763251301	8.25E-09	2.25E-06
ENSG00000139832	173.8746122	1.128762216	0.197786896	5.706961571	1.15E-08	3.08E-06
ENSG00000168918	303.6642703	0.964271559	0.170360793	5.660172976	1.51E-08	3.96E-06
ENSG00000104327	185.7389855	-1.129114222	0.199807879	-5.650999489	1.60E-08	4.10E-06
ENSG00000132294	604.6507129	-0.871945196	0.154436862	-5.645965503	1.64E-08	4.13E-06
ENSG00000107562	427.2025339	-0.882347641	0.156386031	-5.642112901	1.68E-08	4.15E-06
ENSG00000106366	135.6668735	1.245508907	0.221860003	5.613940739	1.98E-08	4.79E-06
ENSG00000149591	1246.80744	0.927692519	0.1658475	5.593647898	2.22E-08	5.29E-06
ENSG00000088305	14856.47658	-0.624654701	0.112237572	-5.565468741	2.61E-08	6.10E-06
ENSG00000127663	688.3862297	0.956264171	0.175180258	5.458743945	4.80E-08	1.10E-05
ENSG00000060656	791.6144858	0.792496657	0.145580954	5.443683632	5.22E-08	1.18E-05
ENSG00000117394	5700.379546	1.185509527	0.217963708	5.43902258	5.36E-08	1.19E-05
ENSG00000240563	7029.903173	-0.766663446	0.141110125	-5.433086013	5.54E-08	1.20E-05
ENSG00000113739	1249.01334	0.714889836	0.131625845	5.431226933	5.60E-08	1.20E-05
ENSG00000148680	713.9397674	0.759695435	0.14056091	5.404741879	6.49E-08	1.37E-05
ENSG00000120694	2331.806837	-0.828477299	0.153565992	-5.394926896	6.86E-08	1.42E-05
ENSG00000079739	1042.629587	0.860860055	0.162481024	5.298219055	1.17E-07	2.38E-05
ENSG00000044090	444.0630431	0.963926442	0.18522224	5.204161447	1.95E-07	3.91E-05
ENSG00000112715	482.7436562	0.792751494	0.152632235	5.193866786	2.06E-07	4.07E-05
ENSG00000189143	386.0739739	0.953005901	0.184791045	5.15720826	2.51E-07	4.87E-05
ENSG00000106789	803.0752218	0.794325044	0.155372188	5.112401742	3.18E-07	6.09E-05
ENSG00000134954	509.438021	-0.840977839	0.16498307	-5.097358419	3.44E-07	6.50E-05
ENSG00000228328	55.96209928	1.172989691	0.231959357	5.056875941	4.26E-07	7.93E-05
ENSG00000124160	337.9844548	-0.992227164	0.196492441	-5.04969637	4.43E-07	8.11E-05
ENSG00000108821	1105.383684	0.809856516	0.160723459	5.03881961	4.68E-07	8.35E-05
ENSG00000166342	130.2218421	-1.044890801	0.207270352	-5.041197609	4.63E-07	8.35E-05
ENSG00000124067	359.7047407	0.87758869	0.174955089	5.016079823	5.27E-07	9.27E-05
ENSG00000074800	29016.30088	0.548485337	0.10942827	5.012281923	5.38E-07	9.33E-05
ENSG00000233929	43.75761979	1.128728177	0.226389937	4.985770086	6.17E-07	0.000105624
ENSG00000049239	350.3191252	0.934807225	0.189096976	4.943533452	7.67E-07	0.000129562
ENSG00000129194	89.51070779	1.088583587	0.22031623	4.941004966	7.77E-07	0.000129562
ENSG00000218739	432.675386	0.763258692	0.155368975	4.912555378	8.99E-07	0.000147938
ENSG00000116560	5167.590458	-0.701688445	0.144634494	-4.851459892	1.23E-06	0.00019913
