GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000000003,-0.295139442,0.034359789,0.280204737,0.022290964,0.775975432,0.926433636
ENSG00000000005,-0.234972489,0.269082752,NA,-0.088031978,0.547205849,NA
ENSG00000000419,-0.212192176,0.175546225,0.558926915,-0.148940269,0.144602602,0.452168936
ENSG00000000457,-0.071840222,0.74752018,0.926045219,0.019874164,0.90143565,0.971506307
ENSG00000000460,-0.504841017,0.005992798,0.116924807,-0.075754327,0.491601089,0.783021191
ENSG00000000938,0.09250463,0.46575284,NA,0.092970443,0.424173222,NA
ENSG00000000971,-0.011911674,0.782043764,NA,0.007156764,0.802934389,NA
ENSG00000001036,0.092598216,0.544143067,0.833988346,-0.162519504,0.089345909,0.354197373
ENSG00000001084,-0.286920501,0.054269931,0.347956458,-0.164917489,0.069661356,0.309347514
ENSG00000001167,0.081227103,0.567685474,0.846573869,0.092366504,0.304634175,0.64786713
ENSG00000001460,0.186595752,0.34256668,0.720044582,0.191280049,0.194384946,0.519644733
ENSG00000001461,-0.117530903,0.55423271,0.839760438,0.109165223,0.408349349,0.72563337
ENSG00000001497,0.038955868,0.767615741,0.931829378,-0.043817805,0.596484032,0.845259719
ENSG00000001561,0.250991968,0.255040972,0.644558244,-0.074812933,0.649830494,0.871076878
ENSG00000001617,0.492821851,0.001833314,0.057819203,0.495960565,2.13E-06,0.000147461
ENSG00000001626,-0.141469142,0.475961599,NA,-0.46748654,0.004586732,0.055939986
ENSG00000001629,-0.04553866,0.745047811,0.924741354,0.034548304,0.673445064,0.879468259
ENSG00000001630,0.073593318,0.750814402,0.926232933,0.175281421,0.306533743,0.649158436
ENSG00000001631,-0.176683365,0.274781849,0.662615032,0.012342697,0.907504469,0.973931756
ENSG00000002016,-0.116841015,0.594874231,0.857377681,0.342575876,0.029380224,0.182945176
ENSG00000002079,-0.01773047,0.773506244,NA,-0.006362426,0.824428122,NA
ENSG00000002330,-0.003005317,0.989706296,0.997682338,-0.001153484,0.994625631,0.998373227
ENSG00000002549,-0.144844139,0.340644051,0.71811941,-0.177420081,0.056754155,0.27342801
ENSG00000002586,NA,NA,NA,NA,NA,NA
ENSG00000002587,0.034076365,0.868922403,NA,0.072549556,0.649260519,NA
ENSG00000002726,-0.071669143,0.486694333,NA,-0.085468668,0.416458687,NA
ENSG00000002745,0.087029657,0.53211599,NA,-0.037896316,0.719982897,NA
ENSG00000002746,-0.184779004,0.41539734,0.763543997,0.163510683,0.302565253,0.645952728
ENSG00000002822,0.096075895,0.593901979,0.856745987,0.098194462,0.417320814,0.73118789
ENSG00000002834,-0.091490307,0.431741863,0.772812515,0.132309545,0.064721369,0.295340244
ENSG00000002919,-0.017934085,0.919750173,0.982187736,-0.064550761,0.579552176,0.835580105
ENSG00000002933,0.00073118,0.992017776,NA,-0.119762249,0.266807323,NA
ENSG00000003056,-0.116934544,0.436550195,0.77492124,-0.187561096,0.029744294,0.184281457
ENSG00000003096,-0.449274285,0.01428645,0.182832372,-0.41034172,0.001015963,0.018889955
ENSG00000003137,0.18064515,0.188399972,NA,0.092990892,0.323411146,NA
ENSG00000003147,-0.117912554,0.492389443,0.807878982,-0.001450292,0.990183448,0.997909484
ENSG00000003249,-0.273367214,0.059698586,0.362701337,-0.375248275,8.34E-05,0.002814684
ENSG00000003393,-0.055360424,0.697788728,0.906857494,0.246914895,0.00776303,0.077890637
ENSG00000003400,0.005510518,0.981109435,0.99593375,-0.165104696,0.330059165,0.66854121
ENSG00000003402,0.005784809,0.95235774,NA,0.142698229,0.365148143,0.695061302
ENSG00000003436,0.191706059,0.407203257,0.761620964,-0.084318183,0.606156102,0.850753979
ENSG00000003509,0.336461967,0.035689443,0.283803691,-0.320932494,0.003635688,0.047962699
ENSG00000003756,0.06701474,0.679140287,0.899910896,-0.050682295,0.621354836,0.858302535
ENSG00000003987,-0.054030198,0.805933168,0.947948148,-0.010631317,0.947024721,0.985952589
ENSG00000003989,-0.208364279,0.1575819,0.53789318,0.067692505,0.4742801,0.769860768
ENSG00000004059,0.115859217,0.402869467,0.76026839,-0.186816995,0.03586638,0.205848433
ENSG00000004139,-0.210928838,0.360743997,0.729329989,0.057157966,0.729145183,0.905721466
ENSG00000004142,-0.150929774,0.255890347,0.645329128,-0.219814454,0.004504858,0.055513129
ENSG00000004399,0.084542702,0.631600864,0.875889011,0.37641075,0.000678491,0.014156458
ENSG00000004455,-0.013955466,0.91987851,0.982187736,0.11184898,0.196626098,0.522440953
ENSG00000004468,0.07581632,0.596002893,NA,-0.023127161,0.803527011,NA
ENSG00000004478,-0.373663457,0.001897715,0.058936061,0.411337703,8.91E-09,1.61E-06
ENSG00000004487,-0.054360003,0.628694229,0.875237519,-0.003229294,0.957056382,0.98846993
ENSG00000004534,-0.204361748,0.143720819,0.518060135,0.075523563,0.42156954,0.733527318
ENSG00000004660,0.118742601,0.58696991,0.854409982,-0.075546559,0.63204348,0.864264335
ENSG00000004700,-0.091469181,0.538603975,0.832975627,-0.111013171,0.254459831,0.595819101
ENSG00000004766,-0.260101663,0.203823766,0.59324158,-0.040235719,0.768819274,0.92378196
ENSG00000004776,NA,NA,NA,-0.068528116,0.372799646,NA
ENSG00000004777,0.206283329,0.278113247,0.665522303,0.110682717,0.385395355,0.710345218
ENSG00000004779,0.004821158,0.971927456,0.99485937,-0.146562401,0.145392807,0.452792514
ENSG00000004799,-0.034243816,0.780216025,NA,0.015694709,0.853329043,NA
ENSG00000004809,0.012946606,0.763648132,NA,-0.08889473,0.275296351,NA
ENSG00000004838,0.079985898,0.485058834,NA,-0.009043114,0.898008624,NA
ENSG00000004846,-5.53E-05,0.999143358,NA,NA,NA,NA
ENSG00000004848,-0.011911674,0.782043764,NA,-0.006362426,0.824428122,NA
ENSG00000004864,-0.414648471,0.001950065,0.059865185,-0.061896649,0.398458237,0.719359254
ENSG00000004866,-0.463595501,0.017601115,0.202807821,-0.216376685,0.079507215,0.332149592
ENSG00000004897,0.026736434,0.848280671,0.963642189,-0.004520959,0.958524162,0.989232531
