File Path: E:/Data/Sample_Input/DE_Series/GSE126785_M2M4.csv
Query:     M2Low*M2High-DIFF-(M5Low*M5High-OR-M4Low*M4High)

Number of rows in DATA: (36)

GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000005448,1.042221112,4.59E-11,1.84E-08,0.37873702,0.000556252,0.012128431
ENSG00000072682,1.225894185,7.89E-09,2.20E-06,0.745201408,2.79E-06,0.000181798
ENSG00000078114,1.091012041,8.20E-12,3.51E-09,-0.115935969,0.346254117,0.680762298
ENSG00000090530,1.064154404,5.12E-12,2.27E-09,-0.159730613,0.183279501,0.505621763
ENSG00000095596,1.434853194,9.90E-14,6.30E-11,-0.102308629,0.471430785,0.768278608
ENSG00000104327,-1.129114222,1.60E-08,4.10E-06,-0.630607621,1.35E-06,0.000103059
ENSG00000106366,1.245508907,1.98E-08,4.79E-06,0.197829971,0.155092561,0.465859333
ENSG00000114023,1.255191558,5.31E-16,5.24E-13,0.533431022,0.001523314,0.025623405
ENSG00000115457,2.063824078,5.87E-46,2.51E-42,0.781159358,2.06E-06,0.000143363
ENSG00000115461,1.276509229,2.76E-09,8.64E-07,0.346025922,0.037422575,0.211564106
ENSG00000120913,1.026512594,2.87E-06,0.000414006,0.081390891,0.600850776,0.847414541
ENSG00000129194,1.088583587,7.77E-07,0.000129562,0.326325664,0.037735741,0.21288358
ENSG00000132510,1.408581567,4.04E-10,1.44E-07,0.604099413,0.000237306,0.006449597
ENSG00000134107,1.773998771,5.56E-15,4.20E-12,0.37847048,0.01763694,0.131481824
ENSG00000135766,1.283302803,2.19E-12,1.08E-09,0.518695731,0.002493866,0.036485233
ENSG00000138083,1.103891237,2.12E-07,NA,-0.095100088,0.241966077,NA
ENSG00000138650,1.018132926,4.33E-06,0.000555575,-0.221248381,0.161224772,0.475126109
ENSG00000138772,1.174210138,5.83E-13,3.40E-10,0.755907681,6.69E-06,0.000379512
ENSG00000139289,1.790710501,9.27E-29,1.98E-25,0.44977934,0.007140049,0.073792215
ENSG00000139832,1.128762216,1.15E-08,3.08E-06,0.680404397,4.56E-07,4.48E-05
ENSG00000143847,1.35007206,3.24E-09,9.68E-07,0.267448426,0.075746733,0.323043142
ENSG00000159167,1.040880473,5.01E-12,2.27E-09,0.292040581,0.009761079,0.090857762
ENSG00000159388,1.300873926,5.36E-10,1.81E-07,0.364890993,0.032433016,0.194197157
ENSG00000164096,1.078667254,3.50E-15,2.80E-12,0.511865435,0.001350659,0.023574824
ENSG00000164879,1.003470546,8.78E-06,0.001052929,0.486164185,0.004292264,0.053768214
ENSG00000166342,-1.044890801,4.63E-07,8.35E-05,-0.149637419,0.285718258,0.630784798
ENSG00000167851,1.014749927,2.38E-06,NA,0.308239359,0.035956897,NA
ENSG00000167874,1.000362694,1.34E-05,0.001485225,0.293247392,0.050552762,NA
ENSG00000170949,1.027087144,1.22E-09,3.91E-07,0.700297035,3.77E-08,5.56E-06
ENSG00000171388,1.59490432,1.53E-12,7.86E-10,0.394689039,0.021481827,0.149375193
ENSG00000177511,-1.011681876,2.93E-06,0.000418005,-0.48987182,0.000501844,0.011231026
ENSG00000214548,1.044536544,1.16E-12,6.45E-10,-0.077767795,0.467615547,0.765261232
ENSG00000226415,1.025106141,2.37E-15,2.03E-12,0.530797972,9.69E-10,2.09E-07
ENSG00000228328,1.172989691,4.26E-07,7.93E-05,0.665929086,0.000100622,0.003252314
ENSG00000233929,1.128728177,6.17E-07,0.000105624,0.574842525,0.000242139,NA
ENSG00000247095,1.335808141,8.25E-09,2.25E-06,0.655703952,0.000106774,0.003402804

