File Path: E:/Data/Sample_Input/DE_Sample/GSE76453_cuffdiff_E2.diff
Query:     Ctl*ZNF143:UP

Number of rows in Ctl*ZNF143: (32)

test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000970	XLOC_000970	SWT1	chr1:185087217-185260913	q1	q2	OK	1.73785	5.44153	1.64671	2.24644	0.00085	0.0190521	yes
XLOC_001399	XLOC_001399	E2F2	chr1:23832551-23857712	q1	q2	OK	2.34078	5.91553	1.33752	3.79761	5e-05	0.0020124	yes
XLOC_001716	XLOC_001716	ALG14	chr1:95448278-95538507	q1	q2	OK	3.81351	12.6586	1.73092	4.18587	5e-05	0.0020124	yes
XLOC_001877	XLOC_001877	LYSMD1	chr1:151129104-151162689	q1	q2	OK	4.67685	24.6971	2.40073	3.20071	5e-05	0.0020124	yes
XLOC_002767	XLOC_002767	DKK1	chr10:54074040-54077417	q1	q2	OK	61.9949	155.553	1.32719	4.42469	5e-05	0.0020124	yes
XLOC_004071	XLOC_004071	BANF1	chr11:65764015-65771672	q1	q2	OK	102.558	316.868	1.62744	4.8042	5e-05	0.0020124	yes
XLOC_004112	XLOC_004112	MYEOV	chr11:69061556-69185052	q1	q2	OK	1.29194	3.06945	1.24844	2.7499	5e-05	0.0020124	yes
XLOC_004970	XLOC_004970	PPP2R1B	chr11:111473169-111637417	q1	q2	OK	7.15824	19.468	1.44343	3.16538	5e-05	0.0020124	yes
XLOC_007259	XLOC_007259	SAMD15	chr14:77843510-77892644	q1	q2	OK	2.30566	6.99206	1.60054	3.46624	5e-05	0.0020124	yes
XLOC_007786	XLOC_007786	MOK	chr14:102690142-102771537	q1	q2	OK	1.94793	4.58174	1.23395	2.84397	5e-05	0.0020124	yes
XLOC_009183	XLOC_009183	GINS3	chr16:58426297-58440048	q1	q2	OK	6.69589	20.0914	1.58523	4.66153	5e-05	0.0020124	yes
XLOC_009583	XLOC_009583	FBXL19-AS1	chr16:30927236-30960279	q1	q2	OK	2.83112	8.63398	1.60865	3.18029	5e-05	0.0020124	yes
XLOC_009920	XLOC_009920	C17ORF97	chr17:260117-270486	q1	q2	OK	2.4794	6.08823	1.29604	3.14569	5e-05	0.0020124	yes
XLOC_010106	XLOC_010106	WSB1	chr17:25621102-25640841	q1	q2	OK	13.7298	32.541	1.24495	3.7268	5e-05	0.0020124	yes
XLOC_013881	XLOC_013881	ACOXL	chr2:111490149-111876428	q1	q2	OK	1.42599	3.60066	1.3363	2.68072	5e-05	0.0020124	yes
XLOC_014459	XLOC_014459	MCFD2	chr2:47129008-47303275	q1	q2	OK	26.2319	62.8374	1.2603	4.15112	5e-05	0.0020124	yes
XLOC_014659	XLOC_014659	SEPT10	chr2:110300373-110371796	q1	q2	OK	1.71389	4.65217	1.44063	3.69827	5e-05	0.0020124	yes
XLOC_015574	XLOC_015574	RTEL1,TNFRSF6B	chr20:62289162-62370460	q1	q2	OK	5.21513	12.122	1.21685	2.02724	0.00065	0.0155107	yes
XLOC_015648	XLOC_015648	JAG1	chr20:10618174-10654694	q1	q2	OK	1.79515	4.38252	1.28766	3.62655	5e-05	0.0020124	yes
XLOC_017942	XLOC_017942	RABL3	chr3:120405527-120461475	q1	q2	OK	14.4398	35.2259	1.28659	2.50443	5e-05	0.0020124	yes
XLOC_018483	XLOC_018483	RBPJ	chr4:26321331-26436752	q1	q2	OK	6.06045	16.725	1.46451	5.29611	5e-05	0.0020124	yes
XLOC_018918	XLOC_018918	TAPT1	chr4:16162127-16259810	q1	q2	OK	2.36106	6.32918	1.42258	3.75885	5e-05	0.0020124	yes
XLOC_019100	XLOC_019100	TRMT10A	chr4:100467863-100485189	q1	q2	OK	3.68153	10.8368	1.55755	4.74426	5e-05	0.0020124	yes
XLOC_019379	XLOC_019379	AHRR,PDCD6	chr5:271735-438405	q1	q2	OK	66.648	163.154	1.2916	4.76521	5e-05	0.0020124	yes
XLOC_019774	XLOC_019774	SLC36A1	chr5:150827162-150872158	q1	q2	OK	2.79526	6.68305	1.25752	3.8921	5e-05	0.0020124	yes
XLOC_021405	XLOC_021405	CCND3	chr6:41902670-42016610	q1	q2	OK	10.7035	32.2021	1.58907	5.44798	5e-05	0.0020124	yes
XLOC_024056	XLOC_024056	PDIA4	chr7:148700153-148725782	q1	q2	OK	50.1702	116.339	1.21343	3.26245	5e-05	0.0020124	yes
XLOC_024357	XLOC_024357	UBXN8	chr8:30601689-30624520	q1	q2	OK	7.17972	23.7861	1.72812	4.74375	5e-05	0.0020124	yes
XLOC_024740	XLOC_024740	EGR3	chr8:22545173-22550815	q1	q2	OK	1.27685	3.18363	1.31808	3.68933	5e-05	0.0020124	yes
XLOC_025001	XLOC_025001	TNFRSF11B	chr8:119935795-119964415	q1	q2	OK	2.50247	6.71524	1.42408	3.30418	5e-05	0.0020124	yes
XLOC_025025	XLOC_025025	FAM49B	chr8:130851838-131028921	q1	q2	OK	10.1076	30.5818	1.59723	5.46199	5e-05	0.0020124	yes
XLOC_025943	XLOC_025943	GABBR2	chr9:101050363-101471479	q1	q2	OK	2.39059	5.93241	1.31125	2.83821	5e-05	0.0020124	yes

