File Path: E:/Data/Sample_Input/DE_Sample/GSE76453_cuffdiff_E2.diff
Query:     Ctl*ZNF143:DOWN

Number of rows in Ctl*ZNF143: (51)

test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000059	XLOC_000059	ESPN	chr1:6484847-6580121	q1	q2	OK	6.67847	2.79076	-1.25886	-2.51814	0.0005	0.0127556	yes
XLOC_000567	XLOC_000567	PRMT6	chr1:107595058-107603271	q1	q2	OK	111.288	43.8015	-1.34525	-5.14366	5e-05	0.0020124	yes
XLOC_001952	XLOC_001952	FAM189B	chr1:155216995-155225274	q1	q2	OK	15.3107	5.52347	-1.4709	-4.72807	5e-05	0.0020124	yes
XLOC_001967	XLOC_001967	MEX3A	chr1:156040594-156052085	q1	q2	OK	4.39531	1.39253	-1.65826	-4.69645	5e-05	0.0020124	yes
XLOC_002279	XLOC_002279	ENAH	chr1:225674533-225840845	q1	q2	OK	11.2162	4.31389	-1.37852	-5.0894	5e-05	0.0020124	yes
XLOC_002927	XLOC_002927	CCNJ	chr10:97471535-97849992	q1	q2	OK	11.3846	4.54597	-1.32442	-3.14039	5e-05	0.0020124	yes
XLOC_003114	XLOC_003114	ASB13	chr10:5680796-5708558	q1	q2	OK	43.5709	18.7596	-1.21574	-4.3281	5e-05	0.0020124	yes
XLOC_003739	XLOC_003739	TIMM10B	chr11:6495912-6505911	q1	q2	OK	11.7951	4.90965	-1.2645	-2.16135	0.0008	0.0181518	yes
XLOC_003764	XLOC_003764	ZNF143	chr11:9482511-9550100	q1	q2	OK	5.96225	1.90848	-1.64343	-4.03075	5e-05	0.0020124	yes
XLOC_004348	XLOC_004348	EI24	chr11:125439297-125454575	q1	q2	OK	73.3124	23.6483	-1.63232	-6.02062	5e-05	0.0020124	yes
XLOC_004699	XLOC_004699	FADS1	chr11:61567096-61634825	q1	q2	OK	89.8659	36.5422	-1.29821	-4.75863	5e-05	0.0020124	yes
XLOC_004749	XLOC_004749	MEN1	chr11:64570983-64578766	q1	q2	OK	21.1983	6.86973	-1.62562	-4.56613	5e-05	0.0020124	yes
XLOC_004957	XLOC_004957	ALKBH8	chr11:107373452-107436461	q1	q2	OK	2.62632	1.13906	-1.2052	-2.87081	5e-05	0.0020124	yes
XLOC_006705	XLOC_006705	COL4A2	chr13:110959630-111165373	q1	q2	OK	3.50888	1.017	-1.78669	-3.71651	5e-05	0.0020124	yes
XLOC_007300	XLOC_007300	SERPINA5	chr14:95047705-95059617	q1	q2	OK	4.19835	1.80002	-1.22181	-2.77871	5e-05	0.0020124	yes
XLOC_007802	XLOC_007802	AKT1	chr14:105235686-105262080	q1	q2	OK	137.282	42.8428	-1.68002	-6.29026	5e-05	0.0020124	yes
XLOC_008225	XLOC_008225	MPI	chr15:75182385-75191751	q1	q2	OK	16.4598	5.94631	-1.46888	-3.91185	5e-05	0.0020124	yes
XLOC_008446	XLOC_008446	RHOV	chr15:41164411-41166487	q1	q2	OK	20.7689	8.43723	-1.29958	-4.27629	5e-05	0.0020124	yes
XLOC_008517	XLOC_008517	MYO5A	chr15:52599479-52821247	q1	q2	OK	14.2111	4.02212	-1.82099	-5.01687	5e-05	0.0020124	yes
XLOC_010745	XLOC_010745	PEMT	chr17:17408876-17495017	q1	q2	OK	10.12	3.98997	-1.34277	-3.19948	5e-05	0.0020124	yes
XLOC_011905	XLOC_011905	MRPL54	chr19:3762664-3767563	q1	q2	OK	23.4772	8.29063	-1.5017	-4.71001	5e-05	0.0020124	yes
XLOC_011950	XLOC_011950	ZNF358	chr19:7581003-7585911	q1	q2	OK	2.58296	1.0268	-1.33087	-3.10273	5e-05	0.0020124	yes
XLOC_012296	XLOC_012296	HNRNPUL1	chr19:41768390-41813811	q1	q2	OK	71.4772	27.4552	-1.38041	-4.92905	5e-05	0.0020124	yes
XLOC_012327	XLOC_012327	ZNF283	chr19:44330823-44357252	q1	q2	OK	2.5208	1.03996	-1.27735	-2.65493	5e-05	0.0020124	yes
XLOC_012415	XLOC_012415	SULT2B1	chr19:49046911-49102684	q1	q2	OK	32.6164	11.9819	-1.44474	-3.50623	5e-05	0.0020124	yes
XLOC_013143	XLOC_013143	KCNN4	chr19:44270576-44288696	q1	q2	OK	7.7166	3.19482	-1.27223	-2.43723	0.0001	0.00363818	yes
XLOC_013670	XLOC_013670	FOXN2	chr2:48541631-48606559	q1	q2	OK	12.2151	5.06202	-1.27088	-2.29078	5e-05	0.0020124	yes
XLOC_014104	XLOC_014104	AOX1	chr2:201450730-201536217	q1	q2	OK	24.2002	9.58169	-1.33667	-3.97165	5e-05	0.0020124	yes
XLOC_014187	XLOC_014187	DNAJB2	chr2:220144039-220151622	q1	q2	OK	17.2664	7.18994	-1.26392	-3.76395	5e-05	0.0020124	yes
XLOC_014800	XLOC_014800	FASTKD1	chr2:170386206-170430424	q1	q2	OK	6.58962	2.07225	-1.669	-4.40855	5e-05	0.0020124	yes
XLOC_015569	XLOC_015569	-	chr20:62106340-62115546	q1	q2	OK	3.00528	1.23074	-1.28797	-3.466	5e-05	0.0020124	yes
XLOC_015764	XLOC_015764	TGM2	chr20:36756863-36793700	q1	q2	OK	7.92914	2.4066	-1.72017	-4.66494	5e-05	0.0020124	yes
XLOC_016377	XLOC_016377	CRKL	chr22:21271713-21308037	q1	q2	OK	38.2594	14.7058	-1.37943	-5.34173	5e-05	0.0020124	yes
XLOC_016380	XLOC_016380	LZTR1	chr22:21336557-21353347	q1	q2	OK	5.09631	1.02922	-2.3079	-5.87145	5e-05	0.0020124	yes
XLOC_017703	XLOC_017703	FYCO1	chr3:45959262-46037316	q1	q2	OK	9.51364	2.32994	-2.0297	-5.63401	5e-05	0.0020124	yes
XLOC_017884	XLOC_017884	CPOX	chr3:98295551-98312501	q1	q2	OK	8.71041	3.02001	-1.52819	-4.29098	5e-05	0.0020124	yes
XLOC_020020	XLOC_020020	-	chr5:57358543-57364988	q1	q2	OK	4.84373	2.00142	-1.2751	-2.88119	5e-05	0.0020124	yes
XLOC_020069	XLOC_020069	ARSB	chr5:78072845-78282425	q1	q2	OK	4.07012	1.68471	-1.27257	-3.27415	5e-05	0.0020124	yes
XLOC_020128	XLOC_020128	NREP	chr5:110831767-111353003	q1	q2	OK	4.04661	1.16731	-1.79353	-2.1577	0.00225	0.038157	yes
XLOC_020268	XLOC_020268	ANXA6	chr5:150478968-150537775	q1	q2	OK	12.9811	5.33351	-1.28326	-2.69359	5e-05	0.0020124	yes
XLOC_023221	XLOC_023221	ZP3	chr7:76018645-76071396	q1	q2	OK	13.2899	4.38731	-1.59893	-3.44301	5e-05	0.0020124	yes
XLOC_023248	XLOC_023248	CLDN12	chr7:90032647-90045268	q1	q2	OK	9.4679	2.97202	-1.6716	-5.136	5e-05	0.0020124	yes
XLOC_024442	XLOC_024442	SULF1	chr8:70378858-70573147	q1	q2	OK	5.38555	2.0064	-1.42449	-3.63423	5e-05	0.0020124	yes
XLOC_024476	XLOC_024476	-	chr8:86898161-86920845	q1	q2	OK	6.24791	2.56189	-1.28617	-1.89774	0.00195	0.0347448	yes
XLOC_024529	XLOC_024529	FZD6	chr8:104310578-104345094	q1	q2	OK	40.9333	17.0592	-1.26272	-4.694	5e-05	0.0020124	yes
XLOC_025941	XLOC_025941	CORO2A	chr9:100883256-100954956	q1	q2	OK	13.0126	5.29691	-1.29669	-4.14529	5e-05	0.0020124	yes
XLOC_026078	XLOC_026078	CRAT	chr9:131857072-131873070	q1	q2	OK	4.79984	1.71629	-1.48369	-3.14506	5e-05	0.0020124	yes
XLOC_026164	XLOC_026164	GRIN1	chr9:140033608-140064491	q1	q2	OK	3.04156	1.17103	-1.37703	-2.28615	0.00065	0.0155107	yes
XLOC_026529	XLOC_026529	FAAH2	chrX:57255482-57515629	q1	q2	OK	3.65184	1.3933	-1.39012	-2.85999	5e-05	0.0020124	yes
XLOC_026767	XLOC_026767	MTMR1	chrX:149861377-149933575	q1	q2	OK	34.647	10.7595	-1.68712	-4.88634	5e-05	0.0020124	yes
XLOC_026866	XLOC_026866	ASB9	chrX:15262043-15288623	q1	q2	OK	6.79934	2.798	-1.281	-3.00869	5e-05	0.0020124	yes

