File Path: E:/Programs/Eclipse_Workspace/A_Lister/Sample_Input/DE_Series/GSE126785_M2.txt
Query:     M2Low*M2High-DIFF-(M5Low*M5High-OR-M4Low*M4High)

Number of rows in DATA: (36)

1.GeneID	2.Base mean	3.log2(FC)	4.StdErr	5.Wald-Stats	6.P-value	7.P-adj
ENSG00000115457	6407.515018	2.063824078	0.145021171	14.23119166	5.87E-46	2.51E-42
ENSG00000139289	1075.74383	1.790710501	0.160933493	11.12702191	9.27E-29	1.98E-25
ENSG00000114023	908.9302817	1.255191558	0.154881681	8.104196401	5.31E-16	5.24E-13
ENSG00000226415	1117.253036	1.025106141	0.129428696	7.920238492	2.37E-15	2.03E-12
ENSG00000164096	881.6068371	1.078667254	0.13702962	7.871781666	3.50E-15	2.80E-12
ENSG00000134107	114.0946121	1.773998771	0.227043005	7.8134923	5.56E-15	4.20E-12
ENSG00000095596	309.7248888	1.434853194	0.192799558	7.442201683	9.90E-14	6.30E-11
ENSG00000138772	374.9092432	1.174210138	0.162982648	7.204510116	5.83E-13	3.40E-10
ENSG00000214548	836.1385565	1.044536544	0.146900582	7.110499693	1.16E-12	6.45E-10
ENSG00000171388	84.37901952	1.59490432	0.225535013	7.071648415	1.53E-12	7.86E-10
ENSG00000135766	300.4748451	1.283302803	0.182753035	7.02206016	2.19E-12	1.08E-09
ENSG00000090530	607.8209001	1.064154404	0.15417424	6.902284109	5.12E-12	2.27E-09
ENSG00000159167	882.3473752	1.040880473	0.150739212	6.905173912	5.01E-12	2.27E-09
ENSG00000078114	430.034148	1.091012041	0.15962005	6.835056367	8.20E-12	3.51E-09
ENSG00000005448	520.6650537	1.042221112	0.158306041	6.58358398	4.59E-11	1.84E-08
ENSG00000132510	123.0153859	1.408581567	0.22527847	6.252623995	4.04E-10	1.44E-07
ENSG00000159388	158.5805079	1.300873926	0.209546368	6.208048064	5.36E-10	1.81E-07
ENSG00000170949	539.3411078	1.027087144	0.168992844	6.077696073	1.22E-09	3.91E-07
ENSG00000115461	125.8398142	1.276509229	0.214706173	5.945377403	2.76E-09	8.64E-07
ENSG00000143847	74.5618558	1.35007206	0.228098505	5.918811514	3.24E-09	9.68E-07
ENSG00000072682	149.6790784	1.225894185	0.212434599	5.770689845	7.89E-09	2.20E-06
ENSG00000247095	65.92715956	1.335808141	0.231780304	5.763251301	8.25E-09	2.25E-06
ENSG00000139832	173.8746122	1.128762216	0.197786896	5.706961571	1.15E-08	3.08E-06
ENSG00000104327	185.7389855	-1.129114222	0.199807879	-5.650999489	1.60E-08	4.10E-06
ENSG00000106366	135.6668735	1.245508907	0.221860003	5.613940739	1.98E-08	4.79E-06
ENSG00000228328	55.96209928	1.172989691	0.231959357	5.056875941	4.26E-07	7.93E-05
ENSG00000166342	130.2218421	-1.044890801	0.207270352	-5.041197609	4.63E-07	8.35E-05
ENSG00000233929	43.75761979	1.128728177	0.226389937	4.985770086	6.17E-07	0.000105624
ENSG00000129194	89.51070779	1.088583587	0.22031623	4.941004966	7.77E-07	0.000129562
ENSG00000120913	111.3019391	1.026512594	0.219346378	4.679870262	2.87E-06	0.000414006
ENSG00000177511	107.1121248	-1.011681876	0.216374459	-4.675606727	2.93E-06	0.000418005
ENSG00000138650	138.3604788	1.018132926	0.221575856	4.5949633	4.33E-06	0.000555575
ENSG00000164879	27.23759463	1.003470546	0.225737679	4.445294874	8.78E-06	0.001052929
ENSG00000167874	33.15581784	1.000362694	0.229804247	4.353107957	1.34E-05	0.001485225
ENSG00000138083	19.68055852	1.103891237	0.212744928	5.188801659	2.12E-07	NA
ENSG00000167851	19.63013863	1.014749927	0.215075042	4.71812032	2.38E-06	NA

