File Path: E:/Data/Sample_Input/DE_Sample/GSE108643_Cuffdiff.txt
Query:     LPE*LPO:UP-AND-OPE*OPO:UP

Number of rows in LPE*LPO: (100)
Number of rows in OPE*OPO: (100)

test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
ABHD2	ABHD2	ABHD2	chr15:89088149-89202360	LeanPre	LeanPost	OK	2.80684	5.7165	1.02619	4.54798	5e-05	0.00124739	yes
ABRA	ABRA	ABRA	chr8:106759482-106770244	LeanPre	LeanPost	OK	50.3543	214.696	2.09211	10.0949	5e-05	0.00124739	yes
ACTA2	ACTA2	ACTA2	chr10:88932683-89015785	LeanPre	LeanPost	OK	27.3837	89.7199	1.71211	7.13562	5e-05	0.00124739	yes
ACTG1	ACTG1	ACTG1	chr17:81509970-81512866	LeanPre	LeanPost	OK	88.0568	233.15	1.40475	6.87978	5e-05	0.00124739	yes
ACTN1	ACTN1	ACTN1	chr14:68874122-68979366	LeanPre	LeanPost	OK	2.01972	4.79512	1.24741	4.43607	5e-05	0.00124739	yes
ADAMTS1	ADAMTS1	ADAMTS1	chr21:26836286-26845409	LeanPre	LeanPost	OK	5.4052	28.3053	2.38865	10.8643	5e-05	0.00124739	yes
ADAMTS9	ADAMTS9	ADAMTS9	chr3:64515654-65011471	LeanPre	LeanPost	OK	1.49488	5.13692	1.78088	6.75971	5e-05	0.00124739	yes
ADRB2	ADRB2	ADRB2	chr5:148826592-148828634	LeanPre	LeanPost	OK	4.29841	12.9513	1.59122	5.88819	5e-05	0.00124739	yes
AKAP12	AKAP12	AKAP12	chr6:151239998-151358561	LeanPre	LeanPost	OK	2.00995	9.57461	2.25205	9.72543	5e-05	0.00124739	yes
ALG2	ALG2	ALG2	chr9:99216424-99221964	LeanPre	LeanPost	OK	3.19266	7.27461	1.18811	4.427	5e-05	0.00124739	yes
ANKRD1	ANKRD1	ANKRD1	chr10:90912099-90921275	LeanPre	LeanPost	OK	16.8425	53.7524	1.67422	7.2193	5e-05	0.00124739	yes
ANKRD37	ANKRD37	ANKRD37	chr4:185396685-185425985	LeanPre	LeanPost	OK	4.86732	16.3637	1.7493	2.44652	0.0006	0.0106433	yes
APLN	APLN	APLN	chrX:129645258-129654956	LeanPre	LeanPost	OK	1.30936	2.69624	1.04209	3.09095	5e-05	0.00124739	yes
APOLD1	APOLD1	APOLD1	chr12:12725916-12791465	LeanPre	LeanPost	OK	3.04229	14.1779	2.22042	9.35245	5e-05	0.00124739	yes
ATF3	ATF3	ATF3	chr1:212565333-212620777	LeanPre	LeanPost	OK	7.42995	43.168	2.53854	10.4514	5e-05	0.00124739	yes
B3GNT5	B3GNT5	B3GNT5	chr3:183178003-183428269	LeanPre	LeanPost	OK	1.97988	4.48579	1.17995	4.20864	5e-05	0.00124739	yes
BHLHE40	BHLHE40	BHLHE40	chr3:4896808-4985180	LeanPre	LeanPost	OK	23.1802	69.8411	1.59118	7.61407	5e-05	0.00124739	yes
C8orf4	C8orf4	C8ORF4	chr8:40153467-40155308	LeanPre	LeanPost	OK	8.89488	34.3835	1.95067	8.26354	5e-05	0.00124739	yes
CCL2	CCL2	CCL2	chr17:34255276-34257201	LeanPre	LeanPost	OK	2.36577	9.44022	1.99651	4.15266	5e-05	0.00124739	yes
CDKN1A	CDKN1A	CDKN1A	chr6:36676459-36687339	LeanPre	LeanPost	OK	1.72057	10.2825	2.57924	7.81997	5e-05	0.00124739	yes
CDR2	CDR2	CDR2	chr16:22345935-22374617	LeanPre	LeanPost	OK	1.40341	3.53232	1.33168	3.86924	5e-05	0.00124739	yes
CHORDC1	CHORDC1	CHORDC1	chr11:90200429-90223364	LeanPre	LeanPost	OK	4.67343	10.232	1.13053	4.68627	5e-05	0.00124739	yes
CHST3	CHST3	CHST3	chr10:71964361-72013564	LeanPre	LeanPost	OK	1.09332	3.09139	1.49954	5.44582	5e-05	0.00124739	yes
CNN1	CNN1	CNN1	chr19:11538716-11550323	LeanPre	LeanPost	OK	1.30028	6.43376	2.30684	5.50962	5e-05	0.00124739	yes
CORO1C	CORO1C	CORO1C	chr12:108645110-108731550	LeanPre	LeanPost	OK	6.31178	13.85	1.13376	5.03107	5e-05	0.00124739	yes
CREB5	CREB5	CREB5	chr7:28299320-28825894	LeanPre	LeanPost	OK	1.12098	2.37008	1.08018	3.92136	5e-05	0.00124739	yes
CSRNP1	CSRNP1	CSRNP1	chr3:39141850-39153611	LeanPre	LeanPost	OK	2.66569	16.6843	2.64591	10.1411	5e-05	0.00124739	yes
CSRP1	CSRP1	CSRP1	chr1:201483529-201507259	LeanPre	LeanPost	OK	11.2691	34.712	1.62307	7.11711	5e-05	0.00124739	yes
CTGF	CTGF	CTGF	chr6:131948176-131951378	LeanPre	LeanPost	OK	4.51361	19.1084	2.08186	8.18404	5e-05	0.00124739	yes
CX3CL1	CX3CL1	CX3CL1	chr16:57372460-57385048	LeanPre	LeanPost	OK	2.6367	26.0759	3.30591	12.8235	5e-05	0.00124739	yes
CYR61	CYR61	CYR61	chr1:85580760-85583965	LeanPre	LeanPost	OK	4.58836	34.552	2.91272	11.5611	5e-05	0.00124739	yes
DLC1	DLC1	DLC1	chr8:13083362-13514920	LeanPre	LeanPost	OK	3.24655	9.14517	1.4941	5.88924	5e-05	0.00124739	yes
DNAJA1	DNAJA1	DNAJA1	chr9:33025210-33039064	LeanPre	LeanPost	OK	18.8166	69.5705	1.88647	8.5929	5e-05	0.00124739	yes
DYNLL1	DYNLL1	DYNLL1	chr12:120469856-120498495	LeanPre	LeanPost	OK	23.4975	62.7373	1.41682	4.81963	5e-05	0.00124739	yes
EGR1	EGR1	EGR1	chr5:138465491-138469315	LeanPre	LeanPost	OK	1.65473	23.8077	3.84675	13.1616	5e-05	0.00124739	yes
EMP1	EMP1	EMP1	chr12:13196667-13216774	LeanPre	LeanPost	OK	10.6569	25.428	1.25464	5.71458	5e-05	0.00124739	yes
ERRFI1	ERRFI1	ERRFI1	chr1:8011718-8026333	LeanPre	LeanPost	OK	4.15743	8.9237	1.10195	4.40033	5e-05	0.00124739	yes
ETS2	ETS2	ETS2	chr21:38805306-38824954	LeanPre	LeanPost	OK	7.38949	25.7438	1.80068	8.16849	5e-05	0.00124739	yes
FGF6	FGF6	FGF6	chr12:4434141-4445614	LeanPre	LeanPost	OK	1.72284	6.89431	2.00061	3.48447	5e-05	0.00124739	yes
FLNB	FLNB	FLNB	chr3:58008399-58172255	LeanPre	LeanPost	OK	2.52877	9.55178	1.91733	8.68841	5e-05	0.00124739	yes
FOS	FOS	FOS	chr14:75278777-75282234	LeanPre	LeanPost	OK	1.16056	21.2675	4.19576	11.7499	5e-05	0.00124739	yes
FOSL2	FOSL2	FOSL2	chr2:28384408-28414649	LeanPre	LeanPost	OK	3.59438	10.2021	1.50505	6.16274	5e-05	0.00124739	yes
GADD45B	GADD45B	GADD45B	chr19:2476124-2478259	LeanPre	LeanPost	OK	2.16164	7.02382	1.70013	4.63065	5e-05	0.00124739	yes
GBP1	GBP1	GBP1	chr1:89052303-89065360	LeanPre	LeanPost	OK	3.74939	9.29791	1.31025	5.05663	5e-05	0.00124739	yes
GDNF	GDNF	GDNF	chr5:37812676-37839680	LeanPre	LeanPost	OK	2.34378	7.95165	1.76242	6.47296	5e-05	0.00124739	yes
GRASP	GRASP	GRASP	chr12:52006944-52015889	LeanPre	LeanPost	OK	1.57518	5.26458	1.74081	4.52717	5e-05	0.00124739	yes
HES1	HES1	HES1	chr3:194136141-194138612	LeanPre	LeanPost	OK	5.62399	18.7503	1.73725	6.32398	5e-05	0.00124739	yes
HK2	HK2	HK2	chr2:74832654-74893354	LeanPre	LeanPost	OK	3.72975	10.6862	1.5186	6.5385	5e-05	0.00124739	yes
ID1	ID1	ID1	chr20:31605282-31606514	LeanPre	LeanPost	OK	7.33062	21.1035	1.52547	5.1427	5e-05	0.00124739	yes
IFRD1	IFRD1	IFRD1	chr7:112423143-112477203	LeanPre	LeanPost	OK	13.7198	31.009	1.17643	5.56872	5e-05	0.00124739	yes
IRS2	IRS2	IRS2	chr13:109753836-109786567	LeanPre	LeanPost	OK	1.92207	8.5308	2.15002	8.86228	5e-05	0.00124739	yes
ITGA5	ITGA5	ITGA5	chr12:54353690-54473602	LeanPre	LeanPost	OK	2.79822	8.81939	1.65617	5.87662	5e-05	0.00124739	yes
JOSD1	JOSD1	JOSD1	chr22:38685542-38700454	LeanPre	LeanPost	OK	5.07269	12.4791	1.29869	5.51025	5e-05	0.00124739	yes
JUNB	JUNB	JUNB	chr19:12791495-12793311	LeanPre	LeanPost	OK	1.19701	6.03514	2.33396	5.83781	5e-05	0.00124739	yes
KITLG	KITLG	KITLG	chr12:88492792-88580473	LeanPre	LeanPost	OK	2.5735	10.6941	2.05501	8.55047	5e-05	0.00124739	yes
KLF10	KLF10	KLF10	chr8:102648776-102655902	LeanPre	LeanPost	OK	21.3102	61.6635	1.53287	7.31412	5e-05	0.00124739	yes
KLF3	KLF3	KLF3	chr4:38612700-38701508	LeanPre	LeanPost	OK	4.07697	8.85572	1.11911	4.87242	5e-05	0.00124739	yes
KLF4	KLF4	KLF4	chr9:107484851-107489766	LeanPre	LeanPost	OK	2.23329	13.4731	2.59284	9.39553	5e-05	0.00124739	yes
KLF6	KLF6	KLF6	chr10:3775995-3785281	LeanPre	LeanPost	OK	9.17622	19.6049	1.09524	5.16017	5e-05	0.00124739	yes
LINGO4	LINGO4	LINGO4	chr1:151800264-151805442	LeanPre	LeanPost	OK	3.14673	7.80674	1.31087	4.78837	5e-05	0.00124739	yes
MEOX1	MEOX1	MEOX1	chr17:43640389-43661894	LeanPre	LeanPost	OK	2.57332	9.543	1.89081	6.26044	5e-05	0.00124739	yes
MYC	MYC	MYC	chr8:127736068-127741434	LeanPre	LeanPost	OK	1.18922	5.89349	2.30911	6.46583	5e-05	0.00124739	yes
NEDD9	NEDD9	NEDD9	chr6:11183297-11382348	LeanPre	LeanPost	OK	5.10605	12.0605	1.24001	5.28558	5e-05	0.00124739	yes
NES	NES	NES	chr1:156668762-156677397	LeanPre	LeanPost	OK	13.0347	36.7311	1.49464	7.25582	5e-05	0.00124739	yes
NFIL3	NFIL3	NFIL3	chr9:91409044-91424626	LeanPre	LeanPost	OK	4.44293	13.9797	1.65375	6.17231	5e-05	0.00124739	yes
NR4A1	NR4A1	NR4A1	chr12:52022831-52059507	LeanPre	LeanPost	OK	12.1437	121.843	3.32674	15.2459	5e-05	0.00124739	yes
OTUD1	OTUD1	OTUD1	chr10:23439268-23442381	LeanPre	LeanPost	OK	15.0653	54.6427	1.8588	8.74241	5e-05	0.00124739	yes
PDE4B	PDE4B	PDE4B	chr1:65792509-66374579	LeanPre	LeanPost	OK	6.34519	14.6998	1.21206	5.39154	5e-05	0.00124739	yes
PDK4	PDK4	PDK4	chr7:95583496-95596613	LeanPre	LeanPost	OK	85.5497	241.076	1.49465	7.01791	5e-05	0.00124739	yes
PIK3R3	PIK3R3	PIK3R3	chr1:46040139-46185962	LeanPre	LeanPost	OK	2.70249	6.87291	1.34663	5.46038	5e-05	0.00124739	yes
PIM1	PIM1	PIM1	chr6:37170145-37175428	LeanPre	LeanPost	OK	1.77475	10.4664	2.56007	8.45595	5e-05	0.00124739	yes
PLAU	PLAU	PLAU	chr10:73909968-73922777	LeanPre	LeanPost	OK	3.76068	9.11994	1.27803	4.68254	5e-05	0.00124739	yes
PLEKHO2	PLEKHO2	PLEKHO2	chr15:64841882-64868002	LeanPre	LeanPost	OK	1.26388	3.71024	1.55365	4.8706	5e-05	0.00124739	yes
PMP22	PMP22	PMP22	chr17:15229776-15265357	LeanPre	LeanPost	OK	19.3535	60.3047	1.63968	7.49597	5e-05	0.00124739	yes
PXDC1	PXDC1	PXDC1	chr6:3722601-3752012	LeanPre	LeanPost	OK	1.79406	5.56049	1.63199	4.98532	5e-05	0.00124739	yes
PYCR1	PYCR1	PYCR1	chr17:81932385-81937328	LeanPre	LeanPost	OK	1.31327	3.77746	1.52425	3.48509	5e-05	0.00124739	yes
RND3	RND3	RND3	chr2:150468192-150487695	LeanPre	LeanPost	OK	2.54162	6.30997	1.31188	4.52396	5e-05	0.00124739	yes
RNF122	RNF122	RNF122	chr8:33547753-33567128	LeanPre	LeanPost	OK	5.37227	16.1571	1.58857	6.07463	5e-05	0.00124739	yes
S100A9	S100A9	S100A9	chr1:153357853-153361027	LeanPre	LeanPost	OK	2.32189	10.0199	2.10949	3.38515	5e-05	0.00124739	yes
SDC4	SDC4	SDC4	chr20:45325288-45348424	LeanPre	LeanPost	OK	12.1441	38.7189	1.67279	7.7078	5e-05	0.00124739	yes
SERPINH1	SERPINH1	SERPINH1	chr11:75562055-75572804	LeanPre	LeanPost	OK	5.26181	16.8305	1.67745	6.69619	5e-05	0.00124739	yes
